date,location_name,day_length,sunrise,sunset,daily_increase,total_increase,reference_date
2026-04-27,Oslo,15:38:00,2026-04-27T05:26+02:00,2026-04-27T21:04+02:00,00:00:00,00:00:00,2026-04-27
2026-05-04,Oslo,16:14:00,2026-05-04T05:07+02:00,2026-05-04T21:21+02:00,00:00:00,00:00:00,2026-05-04
2026-05-11,Oslo,16:49:00,2026-05-11T04:49+02:00,2026-05-11T21:38+02:00,00:00:00,00:00:00,2026-05-11
2026-05-18,Oslo,17:22:00,2026-05-18T04:33+02:00,2026-05-18T21:55+02:00,00:00:00,00:00:00,2026-05-18
2026-05-25,Oslo,17:51:00,2026-05-25T04:19+02:00,2026-05-25T22:10+02:00,00:00:00,00:00:00,2026-05-25
2026-06-01,Oslo,18:16:00,2026-06-01T04:07+02:00,2026-06-01T22:23+02:00,00:00:00,00:00:00,2026-06-01
2026-06-08,Oslo,18:36:00,2026-06-08T03:58+02:00,2026-06-08T22:34+02:00,00:00:00,00:00:00,2026-06-08
2026-06-15,Oslo,18:47:00,2026-06-15T03:54+02:00,2026-06-15T22:41+02:00,00:00:00,00:00:00,2026-06-15
2026-06-22,Oslo,18:49:00,2026-06-22T03:54+02:00,2026-06-22T22:43+02:00,00:00:00,00:00:00,2026-06-22
2026-06-29,Oslo,18:44:00,2026-06-29T03:58+02:00,2026-06-29T22:42+02:00,00:00:00,00:00:00,2026-06-29
2026-07-06,Oslo,18:30:00,2026-07-06T04:06+02:00,2026-07-06T22:36+02:00,00:00:00,00:00:00,2026-07-06
2026-07-13,Oslo,18:09:00,2026-07-13T04:17+02:00,2026-07-13T22:26+02:00,00:00:00,00:00:00,2026-07-13
2026-07-20,Oslo,17:42:00,2026-07-20T04:31+02:00,2026-07-20T22:13+02:00,00:00:00,00:00:00,2026-07-20
2026-07-27,Oslo,17:12:00,2026-07-27T04:46+02:00,2026-07-27T21:58+02:00,00:00:00,00:00:00,2026-07-27
2026-08-03,Oslo,16:39:00,2026-08-03T05:02+02:00,2026-08-03T21:41+02:00,00:00:00,00:00:00,2026-08-03
2026-08-10,Oslo,16:04:00,2026-08-10T05:19+02:00,2026-08-10T21:23+02:00,00:00:00,00:00:00,2026-08-10
2026-08-17,Oslo,15:28:00,2026-08-17T05:36+02:00,2026-08-17T21:04+02:00,00:00:00,00:00:00,2026-08-17
2026-08-24,Oslo,14:51:00,2026-08-24T05:53+02:00,2026-08-24T20:44+02:00,00:00:00,00:00:00,2026-08-24
2026-08-31,Oslo,14:14:00,2026-08-31T06:09+02:00,2026-08-31T20:23+02:00,00:00:00,00:00:00,2026-08-31
